distr_name,original_name
"Соус Чили (с чесноком)  300гр*12  ""Чим-Чим""  ",Соус Чили (с чесноком) 300 гр
"Корейская заправка Для моркови с мясом  60гр*48шт(4бл*12шт)  ""Чим-Чим""","Корейская заправка для моркови с мясом, 60 гр"
"Набор Для салата из фунчозы  160гр*12  ""Чим-Чим"" ","Набор Для салата из фунчозы ""ЧИМ-ЧИМ"""
"Рисовый уксус  250мл*12  ""Чим-Чим"" ","Рисовый уксус, 250 мл"
"Соус для мяса Перечный  300гр*12  ""Костровок""  ",Соус для мяса Перечный с черным перцем 300 гр (250мл)
"Соус для приготовления говядины в соусе черный перец  90гр*40(4бл*10шт)  ""Чим-Чим""","Соус для Говядины в чёрном перце, 90 г"
"Соус для приготовления Ребрышек в соево-медовой глазури 90гр*40(4бл*10шт)  ""Костровок""","Соус Ребрышки соево-медовые, 90 гр."
"Соус Терияки  250мл*12  ""Чим-Чим""  ","Соус Терияки Чим-Чим"" 250 мл."
"Соус Устричный  250мл*12  ""Чим-Чим""  ","Соус Устричный Чим-Чим"" 250 мл."
"Соус Черный перец  320гр*12  ""Чим-Чим""  ",Соус WOK Черный Перец 320 гр.
"Рассол ""Идея на закуску"" для крылышек копчёных 150гр.(32)","Рассол ""Идея на закуску"" для крылышек копченых острых"
"Рассол ""Идея на закуску"" для рыбы горячего копчения 150гр.(32)","Рассол ""Идея на закуску"" для рыбы горячего копчения"
Соус Устричный Чим Чим 250 мл,"Соус Устричный Чим-Чим"" 250 мл."
"Соус Шашлычки Якитори ""Чим Чим"" 90 гр.","Соус для Курицы ""Якитори"", 90 г"
"Соус ""Чим Чим"" Курица в сладком чили, 90 гр.","Соус для Курицы в сладком чили, 90 г"
"Соус ""Чим Чим""  Устричный для фунчозы 90 г.","Соус Устричный для фунчозы ""Чим-Чим"", 90 гр"
Маринад Костровок 80гр грибной,"Маринад Грибной, 80 гр"
"ВИРТЕКС Корейс.заправка ""Чим-Чим"" 60г д/спаржи *4х12шт","Корейская заправка для спаржи, 60 гр"
"Молоко кокосовое Чим-Чим,жестяная банка,400мл","Кокосовое молоко, 400 мл"
"Соус ""Чим-Чим"" для Курицы в сладком ЧИЛИ соусе 90гр (бл.х10)(1х4) (#13) Россия () (шк 4575)","Соус для Курицы в сладком чили, 90 г"
"Соус ""Чим-Чим"" соевый 350г (290мл) ст/бут.(1*6) (#26), Россия () (шк - 7408)","Соевый соус ""Чим-Чим"", 350 гр (290 мл)"
"Кокосовое молоко ""Чим-Чим"" extra class 400мл ж/б (1х12)(#13),Тайланд () (шк 9938)","Кокосовое молоко, 400 мл"
М Имбирь маринованный 190 г,"Имбирь маринованный розовый, 190 г"
М Приправа-Васаби 43гр,"Васаби паста, 43 г"
Лапша SOBA гречневая Чим-Чим 250 гр,"Лапша гречневая Соба Чим-Чим, 12 шт. 250 гр."
"М Соус Якитори для курицы, Чим-Чим, 90гр","Соус для Курицы ""Якитори"", 90 г"
Молоко кокосовое Чим-Чим 400 мл,"Кокосовое молоко, 400 мл"
Соус соевый Чим-Чим классический 290 мл,"Соевый соус ""Чим-Чим"", 350 гр (290 мл)"
Соус для Овощей по-тайски 150 гр 1/20 Чим-Чим,"Соус для приготовления овощей по-тайски, 150 гр., 32 шт"
Соус кисло-сладкий для Свинины 150 гр 1/20 Чим-Чим,"Соус для приготовления свинины в кисло-сладком соусе, 150 гр., 32 шт"
"Васаби ""ЧИМ-ЧИМ"" 43г*40шт КНР, шт.","Васаби паста, 43 г"
"Водоросли морские сушеные Суши Нори ""Чим-Чим"" 24г, шт.","Суши Нори 10 листов, 24 г"
"Кокосовое молоко 400мл*12шт, шт.","Кокосовое молоко, 400 мл"
"Корейская запр.д\моркови с мясом 60г*48 шт., шт.","Корейская заправка для моркови с мясом, 60 гр"
"Лапша гречневая Соба 250г*12шт КНР, шт.","Лапша гречневая Соба Чим-Чим, 12 шт. 250 гр."
"Лапша пшеничная Удон ""Чим-Чим"" 250г КНР, шт.","Лапша пшеничная Удон Чим-Чим, 12 шт. 250 гр."
"Салфетка бамбуковая (Циновка) ""Чим-Чим"", шт.",Бамбуковая Циновка
"Соевый соус ""Для суши и роллов"" ""Чим-Чим"" 250мл*12шт, шт.","Соевый соус ""Для СУШИ и РОЛЛОВ"", 250 мл"
"Соевый соус ""Легкий"" ""Чим-Чим"" 250мл*12шт, шт.","Соевый соус ""Легкий"", 250 мл"
"Соевый соус ""Премиум"" ""Чим-Чим"" 250мл*12шт, шт.","Соевый соус ""Премиум"", 250 мл"
"Уксус рисовый ""Чим-Чим"" 290г, шт.","Рисовый уксус, 250 мл"
Соус Костровок Аджичный 250мл(300г) Виртекс,Соус для мяса Аджичный с ягодами кизила 300 гр (250 мл)
Соус Костровок Барбекю 250мл(320г) Виртекс,Соус для мяса Барбекю с черносливом 320 гр (250мл)
Соус Костровок Перечный 250мл(300г) Виртекс,Соус для мяса Перечный с черным перцем 300 гр (250мл)
Соус Чим-чим Устричный 250мл(320г) Виртекс,"Соус Устричный Чим-Чим"" 250 мл."
"Имбирь маринованный ""Чим-Чим"", 190 гр (24)","Имбирь маринованный розовый, 190 г"
"Кокосовое молоко ""Чим-Чим"", 400 мл (12)","Кокосовое молоко, 400 мл"
"Салфетка бамбуковая (циновка) ""Чим-Чим"", 90 гр (100)",Бамбуковая Циновка
"Соус Терияки ""Чим-Чим"", 320 гр (250 мл) (12)","Соус Терияки Чим-Чим"" 250 мл."
"Рисовый уксус ""Чим-Чим"", 250 мл (12)","Рисовый уксус, 250 мл"
Кокосовое молоко 400 мл,"Кокосовое молоко, 400 мл"
Уксус Рисовый 3%,"Рисовый уксус, 250 мл"
Маринад для барбекю 300гр,"Маринад для барбекю, 300 г"
имбирь,"Имбирь маринованный розовый, 190 г"
Маринад классический(приправа),"Маринад для шашл\классический, 300 г"
"Соус для мяса Аджичный на кизиле, 300 г",Соус для мяса Аджичный с ягодами кизила 300 гр (250 мл)
Соус  для приготовления  ребрышек в соево-медовой глазури  90г./4*10 (шт.),"Соус Ребрышки соево-медовые, 90 гр."
Жидкий дым 0.5л. /18 (шт.),"Жидкий дым Классический 0,5 л."
"Маринад  для  шашлыка по-кавказски 0,3л. /12 (шт.)","Маринад для шашл\по-кавказски, 300 г"
"Конфитюр ""Цитроновый"", 220г.","Конфитюр экстра Цитрон, 220 гр."
"Конфитюр ""Цитроновый"", 480г.","Конфитюр экстра Цитрон, 480 гр."
"Рататуй ""Манго и Карри"", 280 г.","Рататуй Манго и Карри, 280 гр."
"Рататуй ""Чили и Ананас"", 280 г.","Рататуй Чили и Ананас, 280 гр."
салфетка бамбуковая Чим-Чим 1шт.,Бамбуковая Циновка
Соус Соево-чесночный Чим-чим 320г,Соус WOK Соево-Чесночный 320 гр.
Маринад с Белым Вином 80г 1/4бл/10пак,"Маринад С Белым Вином, 80 гр"
"Соус для мяса Аджичный, ""Костровок"" 300гр, 12 шт./ кор.",Соус для мяса Аджичный с ягодами кизила 300 гр (250 мл)
"Соус для мяса Перечный ""Костровок"" 300гр, 12 шт./кор.",Соус для мяса Перечный с черным перцем 300 гр (250мл)
"Нори водоросли Чим-Чим, 24 г.20шт/уп","Суши Нори 10 листов, 24 г"
"Корейская заправка Для моркови с мясом ""ЧИМ-ЧИМ"", 60 гр, 48шт\кор","Корейская заправка для моркови с мясом, 60 гр"
"Корейская заправка Для огурцов ""ЧИМ-ЧИМ"", 60 гр, 48шт\кор","Корейская заправка для огурцов, 60 гр"
"Имбирь маринованный ТМ ""Чим-Чим"" 0,19 кг ст/б","Имбирь маринованный розовый, 190 г"
"Маринад Для барбекю ТМ ""Костровок"" 0,3кг 12шт/кор, Россия","Маринад для барбекю, 300 г"
"Маринад Для рыбы ТМ ""Костровок"" 0,3кг 12шт/кор, Россия","Маринад для рыбы, 300 г"
"Маринад Для шашлыка по-кавказски ТМ ""Костровок"" 0,3кг 12шт/кор, Россия","Маринад для шашл\по-кавказски, 300 г"
"Маринад Универсальный ТМ ""Костровок"" 0,3кг 12шт/кор, Россия","Маринад Универсальный, 300 г"
"Маринад Для мяса ТМ ""Костровок"" 0,3кг 12шт/кор, Россия","Маринад для мяса (брусничный), 300 г"
"Маринад для приготовления копчёных крылышек ""Костровок"", 80 гр, 40шт\кор","Маринад для копчёных крылышек, 80 гр"
"Молоко кокосовое Чим-Чим ж\б 400 мл, 12 шт\кор","Кокосовое молоко, 400 мл"
"Приправа для маринования мяса в минеральной воде ""Костровок"", 25гр","Приправа ЖМ для шашл\в мин-ой воде, саше 25 гр."
"Уксус рисовый Чим-Чим   250 мл, 12 шт\кор","Рисовый уксус, 250 мл"
"Д Лапша Фунчоза бобовая ""ЧИМ-ЧИМ"", 0,200 кг, 18шт\кор","Вермишель ФУНЧОЗА бобовая, 200 гр."
"П Соус соевый ""Чим-Чим"", 350 гр (290 мл)","Соевый соус ""Чим-Чим"", 350 гр (290 мл)"
"Ароматизатор коптильный (Б) ""Жидкий дым"" ТМ ""Костровок"" 0,5л 18шт/кор, Россия","Жидкий дым Классический 0,5 л."
"Маринад для приготовления крылышек барбекю ""Костровок"", 80 гр, 40шт\кор","Маринад для крылышек барбекю, 80 гр"
"Маринад для приготовления крылышек медово-горчичных ""Костровок"", 80 гр, 40шт\кор","Маринад для крылышек медово-горчичных, 80 гр"
"Маринад С белым вином ""Костровок"", 80 гр, 40шт\кор","Маринад С Белым Вином, 80 гр"
"Маринад Грибной ""Костровок"", 80 гр, 40шт\кор","Маринад Грибной, 80 гр"
"Маринад Сырный ""Костровок"", 80 гр, 40шт\кор","Маринад Сырный, 80 гр"
"Маринад для приготовления чесночных крылышек ""Костровок"", 60 гр.","Маринад для чесночных крылышек, 60 гр."
"П Маринад Грибной ""Костровок"", 80 гр, 40шт\кор","Маринад Грибной, 80 гр"
"П Маринад для приготовления крылышек барбекю ""Костровок"", 80 гр, 40шт\кор","Маринад для крылышек барбекю, 80 гр"
"П Корейская заправка Для спаржи ""ЧИМ-ЧИМ"", 60 гр, 48шт\кор","Корейская заправка для спаржи, 60 гр"
"П Корейская заправка Для фунчозы ""ЧИМ-ЧИМ"", 60 гр, 48шт\кор","Корейская заправка для фунчозы, 60 гр"
"Рассол ""Идея на закуску"" для крылышек копченых, 150гр, 32шт\кор","Рассол ""Идея на закуску"" для крылышек копченых острых"
"Рассол ""Идея на закуску"" для окорочков копченых, 150гр, 32шт\кор","Рассол ""Идея на закуску"" для окорочков копченых"
"П Маринад Для барбекю ""Костровок"", 0,300 кг, 12 шт\кор","Маринад для барбекю, 300 г"
"П Маринад Для курицы ""Костровок"", 0,300 кг, 12 шт\кор","Маринад для курицы, 300 г"
"П Маринад Для шашлыка по-кавказски ""Костровок"", 0,300 кг, 12 шт\кор","Маринад для шашл\по-кавказски, 300 г"
"П Маринад для приготовления крылышек медово-горчичных ""Костровок"", 80 гр, 40шт\кор","Маринад для крылышек медово-горчичных, 80 гр"
"П Маринад для приготовления чесночных крылышек ""Костровок"", 60 гр ","Маринад для чесночных крылышек, 60 гр."
"П Маринад Кавказский ""Костровок"", 80 гр, 40шт\кор","Маринад Кавказский, 80 гр"
"П Маринад С белым вином ""Костровок"", 80 гр, 40шт\кор","Маринад С Белым Вином, 80 гр"
"П Маринад Чесночный ""Костровок"", 80 гр, 40шт\кор","Маринад Чесночный, 80 гр"
"П Соус для приготовления крылышек терияки ""Костровок"", 90 гр","Соус Для крылышек терияки, 90 гр"
"П Соус для приготовления курицы терияки ""Чим-Чим"", 150 гр, 20шт\кор","Соус для приготовления курицы терияки, 150 гр., 32 шт"
"П Корейская заправка Для капусты ""ЧИМ-ЧИМ"", 60 гр, 48шт\кор","Корейская заправка для капусты, 60 гр"
"П Корейская заправка Для моркови ""ЧИМ-ЧИМ"", 60 гр, 48шт\кор","Корейская заправка для моркови, 60 гр"
"П Корейская заправка Для огурцов ""ЧИМ-ЧИМ"", 60 гр, 48шт\кор","Корейская заправка для огурцов, 60 гр"
"П Набор Для салата из фунчозы ""Чим-Чим"", 160гр, 12шт\кор","Набор Для салата из фунчозы ""ЧИМ-ЧИМ"""
"П Соус соевый Премиум ""Чим-Чим"", 290 гр (250 мл)","Соевый соус ""Премиум"", 250 мл"
"П Корейская заправка Для кальмаров ""ЧИМ-ЧИМ"", 60 гр, 48шт\кор","Корейская заправка для кальмаров, 60 гр"
"П Корейская заправка Для хе из рыбы ""ЧИМ-ЧИМ"", 60 гр, 48шт\кор","Корейская заправка для хе из рыбы, 60 гр"
"П Соус для приготовления овощей по- тайски ""Чим-Чим"", 150 гр, 20шт/кор","Соус для приготовления овощей по-тайски, 150 гр., 32 шт"
"П Соус для приготовления Пад Тай ""Чим-Чим"", 90 гр, 10шт\уп","Соус для приготовления Пад Тай, 90 гр."
"П Соус для приготовления свинины в кисло-сладком соусе ""Чим-Чим"", 150 гр, 20шт\кор","Соус для приготовления свинины в кисло-сладком соусе, 150 гр., 32 шт"
"П Соус для приготовления Яки Соба ""Чим-Чим"", 90 гр, 10шт\уп","Соус для приготовления Яки Соба, 90 гр"
"П Соус для приготовления Яки Удон ""Чим-Чим"", 90 гр, 10шт\уп","Соус для приготовления Яки Удон, 90 гр"
"П Корейская заправка Для моркови острая ""ЧИМ-ЧИМ"", 60 гр, 48шт\кор","Корейская заправка для острой моркови, 60 гр"
"П Корейская заправка Для хе из курицы ""ЧИМ-ЧИМ"", 60 гр, 48шт\кор","Корейская заправка для хе из курицы, 60 гр"
"П Корейская заправка Для моркови с мясом ""ЧИМ-ЧИМ"", 60 гр, 48шт\кор","Корейская заправка для моркови с мясом, 60 гр"
"П Ароматизатор коптильный (Б) ""Жидкий дым"" ""Костровок"", 0,5 л, 18шт\кор","Жидкий дым Классический 0,5 л."
"Васаби Чим-Чим 43гр, 10 шт в боксе/ 4 бокса\кор","Васаби паста, 43 г"
"Коврик д/суши бамбуковый Чим - Чим ,24*24, Китай, 10шт\кор.",Бамбуковая Циновка
            Соус для мяса Перечный 300гр Костровок,Соус для мяса Перечный с черным перцем 300 гр (250мл)
            Соус Черный перец 320гр ЧимЧим,Соус WOK Черный Перец 320 гр.
            Имбирь маринованный 190г Чим Чим,"Имбирь маринованный розовый, 190 г"
            Рисовый уксус Чим Чим 250 мл,"Рисовый уксус, 250 мл"
"Маринад для  крылышек медово-горчичных ""КОСТРОВОК""  80гр*40","Маринад для крылышек медово-горчичных, 80 гр"
"Маринад для  чесночных крылышек ""КОСТРОВОК""  80гр*40","Маринад для чесночных крылышек, 60 гр."
"Маринад для копченых крылышек ""КОСТРОВОК""  80гр*40","Маринад для копчёных крылышек, 80 гр"
"Маринад Для крылышек барбекю ""КОСТРОВОК""  80гр*40","Маринад для крылышек барбекю, 80 гр"
"Маринад Для рыбы ""КОСТРОВОК"" 300гр*12","Маринад для рыбы, 300 г"
Соус Аджичный для мяса Костровок 300гр*12,Соус для мяса Аджичный с ягодами кизила 300 гр (250 мл)
"Соус Барбекю с черносливом ""Костровок"" 250мл*12",Соус для мяса Барбекю с черносливом 320 гр (250мл)
Соус Брусничный Костровок 250мл*12,Соус для мяса Брусничный 285 гр (250 мл)
"Соус для пригот.крылышек Терияки  ""КОСТРОВОК""  90гр*40","Соус Для крылышек терияки, 90 гр"
"Соус для пригот.острых ребрышек с аджикой  ""КОСТРОВОК"" 90гр*40","Соус Ребрышки острые в с-се с адж-ой, 90 гр."
"Соус для пригот.ребрышек в соево-медовой глазури ""КОСТРОВОК""  90гр*40","Соус Ребрышки соево-медовые, 90 гр."
Соус Перечный Костровок 250мл*12,Соус для мяса Перечный с черным перцем 300 гр (250мл)
"Ароматизатор коптильный (Б) ""Жидкий дым"" ""Костровок"", 0,33л, шт","Жидкий дым Классический 0,33 л."
"Ароматизатор коптильный (Б) ""Жидкий дым"" ""Костровок"", 0,5л, шт","Жидкий дым Классический 0,5 л."
"Водоросли морские сушеные Суши Нори ""Чим-Чим"",24гр, шт","Суши Нори 10 листов, 24 г"
"Имбирь Стеклянная банка 140 гр., шт","Имбирь маринованный розовый, 190 г"
"Конфитюр ""Цитроновый"" Daesang 220г с/б, шт","Конфитюр экстра Цитрон, 220 гр."
"Корейская заправка Для капусты ""Чим-Чим"", 60гр, шт","Корейская заправка для капусты, 60 гр"
"Корейская заправка Для моркови ""Чим-Чим"", 60гр, шт","Корейская заправка для моркови, 60 гр"
"Корейская заправка Для моркови острая ""Чим-Чим"", 60гр, шт","Корейская заправка для острой моркови, 60 гр"
"Корейская заправка Для моркови с мясом ""Чим-Чим"", 60гр, шт","Корейская заправка для моркови с мясом, 60 гр"
"Корейская заправка Для огурцов ""Чим-Чим"", 60гр, шт","Корейская заправка для огурцов, 60 гр"
"Корейская заправка Для спаржи ""Чим-Чим"", 60гр, шт","Корейская заправка для спаржи, 60 гр"
"Корейская заправка Для фунчозы ""Чим-Чим"", 60гр, шт","Корейская заправка для фунчозы, 60 гр"
"Корейская заправка Для хе из курицы ""Чим-Чим"", 60гр, шт","Корейская заправка для хе из курицы, 60 гр"
"Корейская заправка Для хе из рыбы ""Чим-Чим"", 60гр, шт","Корейская заправка для хе из рыбы, 60 гр"
"Лапша гречневая Соба Чим-Чим 250г, шт","Лапша гречневая Соба Чим-Чим, 12 шт. 250 гр."
"Лапша пшеничная Удон Чим-Чим 250г, шт","Лапша пшеничная Удон Чим-Чим, 12 шт. 250 гр."
"Маринад Для барбекю ""Костровок"",300гр., шт","Маринад для барбекю, 300 г"
"Маринад Для курицы ""Костровок"", 300гр., шт","Маринад для курицы, 300 г"
"Маринад Для мяса ""Костровок"", 300гр., шт","Маринад для мяса (брусничный), 300 г"
"Маринад для приготовления крылышек барбекю ""Костровок"" , 80гр., шт","Маринад для крылышек барбекю, 80 гр"
"Маринад для приготовления крылышек медово-горчичных ""Костровок"" , 80гр., шт","Маринад для крылышек медово-горчичных, 80 гр"
"Маринад для приготовления чесночных крылышек ""Костровок"" , 60гр., шт","Маринад для чесночных крылышек, 60 гр."
"Маринад Для рыбы ""Костровок"" , 300гр., шт","Маринад для рыбы, 300 г"
"Маринад Для шашлыка классический ""Костровок"" , 300гр. , шт","Маринад для шашл\классический, 300 г"
"Маринад Для шашлыка классический ""Костровок"" , 300гр. АКЦИЯ, шт","Маринад для шашл\классический, 300 г"
"Маринад Для шашлыка по-кавказски ""Костровок"" , 300гр., шт","Маринад для шашл\по-кавказски, 300 г"
"Маринад Костровок пак.80г грибной, шт","Маринад Грибной, 80 гр"
"Маринад Костровок пак.80г для приготовления копчен. крылышек, шт","Маринад для копчёных крылышек, 80 гр"
"Маринад Костровок пак.80г для приготовления крылышек терияки , шт","Соус Для крылышек терияки, 90 гр"
"Маринад Костровок пак.80г кавказский, шт","Маринад Кавказский, 80 гр"
"Маринад Костровок пак.80г с белым вином, шт","Маринад С Белым Вином, 80 гр"
"Маринад Костровок пак.80г чесночный, шт","Маринад Чесночный, 80 гр"
"Маринад Универсальный ""Костровок"", 300гр., шт","Маринад Универсальный, 300 г"
"Набор для приготовления Фунчоза в устричном соусе ""Чим-Чим"", 6шт, шт","Набор для приготовления Фунчозы в Устричном соусе,"
"Набор для приготовления Яки Соба ""Чим-Чим"""", 6шт, шт","Набор для приготовления Яки Соба, 6 шт."
"Набор для приготовления Яки Удон ""Чим-Чим"", 6 шт, шт","Набор для приготовления Яки Удон, 6 шт."
"Набор для салата из фунчозы ""Чим-Чим"", шт","Набор Для салата из фунчозы ""ЧИМ-ЧИМ"""
"Приправа - Васаби ""Чим-Чим"", 43гр, шт","Васаби паста, 43 г"
"Приправа для маринования мяса в луке и томатах ""Костровок"" 25гр, шт","Приправа ЖМ для шашл\в луке и томатах, саше 25 гр."
"Приправа для маринования мяса в майонезе ""Костровок"" 25гр, шт","Приправа ЖМ для шашл\в майонезе, саше 25 гр."
"Приправа для маринования мяса в миниральной воде ""Костровок"" 25гр, шт","Приправа ЖМ для шашл\в мин-ой воде, саше 25 гр."
"Рассол для копчения курицы, 0,420л, шт","Рассол для копчения курицы, 0,42 л"
"Рассол для копчения рыбы, 0,420л , шт","Рассол для копчения рыбы, 0,42 л"
"Рассол для копчения сала, 0,420л, шт","Рассол для копчения сала, 0,42 л"
"Рататуй ""Манго и Карри"" Bokumjari, 280 г с/б, шт","Рататуй Манго и Карри, 280 гр."
"Рататуй ""Чили и Ананас"" Bokumjari, 280 г с/б, шт","Рататуй Чили и Ананас, 280 гр."
"Рис ""для суши"" круглозерный шлифованный, 500г, ""Чим-Чим"", шт","Рис для суши, 500 г"
"Рисовый уксус ""Чим-Чим"", 250мл, шт","Рисовый уксус, 250 мл"
"Соево-чесночный соус 300гр с/б Чим-Чим, шт",Соус WOK Соево-Чесночный 320 гр.
"Соевый соус ""Для СУШИ и РОЛЛОВ"", 250мл (Виртекс), шт","Соевый соус ""Для СУШИ и РОЛЛОВ"", 250 мл"
"Соевый соус ""Премиум"", 250мл, (Виртекс), шт","Соевый соус ""Премиум"", 250 мл"
"Соевый соус ""Чим-Чим"" 350г (290мл), шт","Соевый соус ""Чим-Чим"", 350 гр (290 мл)"
"Соевый соус легкий ""Чим-Чим"" 250мл, шт","Соевый соус ""Легкий"", 250 мл"
"Соус для мяса Аджичный, 300гр. ""Костровок"", шт",Соус для мяса Аджичный с ягодами кизила 300 гр (250 мл)
"Соус для мяса Барбекю 320гр. ""Костровок"" , шт",Соус для мяса Барбекю с черносливом 320 гр (250мл)
"Соус для мяса Брусничный 285гр. ""Костровок"" , шт",Соус для мяса Брусничный 285 гр (250 мл)
"Соус для мяса Перечный 300 гр. ""Костровок"" , шт",Соус для мяса Перечный с черным перцем 300 гр (250мл)
"Соус для приготовления крылышек терияки ""Костровок"" , 90гр. , шт","Соус Для крылышек терияки, 90 гр"
"Соус для приготовления курицы терияки ""Чим-Чим"" , 150гр., шт","Соус для приготовления курицы терияки, 150 гр., 32 шт"
"Соус для приготовления овощей по-тайски ""Чим-Чим"" ,150гр., шт","Соус для приготовления овощей по-тайски, 150 гр., 32 шт"
"Соус для приготовления свинины в кисло-сладком соусе ""Чим-Чим"" , 150гр., шт","Соус для приготовления свинины в кисло-сладком соусе, 150 гр., 32 шт"
"Соус для приготовления Яки Соба ""Чим-Чим"" , 90гр., шт","Соус для приготовления Яки Соба, 90 гр"
"Кокосовое молоко 400мл, шт","Кокосовое молоко, 400 мл"
"Конфитюр ""Цитроновый"" Bokumjari 480г с/б, шт","Конфитюр экстра Цитрон, 480 гр."
"Корейская заправка Для кальмаров ""Чим-Чим"", 60гр, шт","Корейская заправка для кальмаров, 60 гр"
"Маринад Сырный ""Костровок"", 80гр., шт","Маринад Сырный, 80 гр"
"Приправа маринования мяса в минеральной воде ""Костровок"" 25гр Бонус, шт","Приправа ЖМ для шашл\в мин-ой воде, саше 25 гр."
"Рассол ""Идея на закуску"" для грудинки копченой ,150гр, шт","Рассол ""Идея на закуску"" для грудинки копченой с чесноком"
"Рассол ""Идея на закуску"" для крылышек копченых, 150гр, шт","Рассол ""Идея на закуску"" для крылышек копченых острых"
"Рассол ""Идея на закуску"" для окорочков копченых,150гр, шт","Рассол ""Идея на закуску"" для окорочков копченых"
"Рассол ""Идея на закуску"" для рыбы горячего копчения, 150гр, шт","Рассол ""Идея на закуску"" для рыбы горячего копчения"
"Салфетка бамбуковая (Циновка), Чим Чим, 1шт, шт",Бамбуковая Циновка
"Соус Говядина в черном перце ""Чим-Чим"" , 90гр, шт","Соус для Говядины в чёрном перце, 90 г"
"Соус для приготовления Острых ребрышек с аджикой ""Костровок"", 90гр., шт","Соус Ребрышки острые в с-се с адж-ой, 90 гр."
"Соус для приготовления Пад Тай ""Чим-Чим"" ,90гр, шт","Соус для приготовления Пад Тай, 90 гр."
"Соус для приготовления ребрышек в Соево-медовой глазури ""Костровок"", 90гр., шт","Соус Ребрышки соево-медовые, 90 гр."
"Соус для приготовления Яки Удон ""Чим-Чим"" , 90гр., шт","Соус для приготовления Яки Удон, 90 гр"
"Соус кисло-сладкий 300гр. ""Чим-Чим"", шт",Соус WOK Кисло-Сладкий 300 гр.
"Соус Курица в сладком чили ""Чим-Чим"" , 90гр, шт","Соус для Курицы в сладком чили, 90 г"
"Соус Терияки Чим-Чим 250мл с/б, шт","Соус Терияки Чим-Чим"" 250 мл."
"Соус Устричный для фунчозы ""Чим-Чим"" 90г, шт","Соус Устричный для фунчозы ""Чим-Чим"", 90 гр"
"Соус Устричный Чим-Чим 250мл, шт","Соус Устричный Чим-Чим"" 250 мл."
"Соус Черный перец 320гр ""Чим-Чим"", шт",Соус WOK Черный Перец 320 гр.
"Соус Чили (с чесноком) Чим-Чим 300гр, шт",Соус Чили (с чесноком) 300 гр
"Соус Шашлычки Якитори ""Чим-Чим"" , 90гр, шт","Соус для Курицы ""Якитори"", 90 г"
"Фунчоза Чим-Чим 100г, шт","Вермишель ФУНЧОЗА бобовая, 100 гр."
"Фунчоза Чим-Чим 200г, шт","Вермишель ФУНЧОЗА бобовая, 200 гр."
"Соус для приготовления крылышек терияки ""Костровок"" , 90гр. ,","Соус Для крылышек терияки, 90 гр"
"Рассол ""Костровок"" для копчения курицы 420 мл.(12)","Рассол для копчения курицы, 0,42 л"
"Рассол ""Костровок"" для копчения рыбы 420 мл.(12)","Рассол для копчения рыбы, 0,42 л"
"Соус ""Костровок"" 285гр д/мяса брусничный (12)",Соус для мяса Брусничный 285 гр (250 мл)
"Соус ""Костровок"" 300гр д/мяса перечный (12)",Соус для мяса Перечный с черным перцем 300 гр (250мл)
"Соус ""Костровок"" 300гр д/мяса барбекю (12)",Соус для мяса Барбекю с черносливом 320 гр (250мл)
"Морская водоросль Чим-Чим ""Суши-Нори"" 10 листов 24г. (12*20)","Суши Нори 10 листов, 24 г"
Чим-Чим соус соевый для суши и роллов 250 мл.(12),"Соевый соус ""Для СУШИ и РОЛЛОВ"", 250 мл"
Чим-Чим соус Чили с чесноком 250 мл.(12),Соус Чили (с чесноком) 300 гр
Чим-Чим соус соевый Премиум 250 мл.(12),"Соевый соус ""Премиум"", 250 мл"
"Имбирь маринованный ""Чим-чим"" 190 гр (24)","Имбирь маринованный розовый, 190 г"
Кокосовое молоко Чим-Чим 400 мл. (12),"Кокосовое молоко, 400 мл"
"Лапша пшеничная Чим-Чим ""UDON"" 250гр. (12)","Лапша пшеничная Удон Чим-Чим, 12 шт. 250 гр."
"Маринад ""Костровок"" 80гр. с БЕЛЫМ ВИНОМ(4*10)","Маринад С Белым Вином, 80 гр"
"Рассол ""Идея на закуску"" для грудинки копчёной 150гр.(32)","Рассол ""Идея на закуску"" для грудинки копченой с чесноком"
"Рассол ""Идея на закуску"" для окорочков копчёных 150гр.(32)","Рассол ""Идея на закуску"" для окорочков копченых"
Чим-Чим Бамбуковая Циновка д/суши-роллов (10),Бамбуковая Циновка
Чим-Чим Рис д/суши 500гр. (12),"Рис для суши, 500 г"
Чим-Чим соус соево-чесночный 250мл. (12),Соус WOK Соево-Чесночный 320 гр.
Чим-Чим соус соевый  для суши и роллов 250 мл.(12),"Соевый соус ""Для СУШИ и РОЛЛОВ"", 250 мл"
Чим-Чим соус соевый  Премиум 250 мл.(12),"Соевый соус ""Премиум"", 250 мл"
Чим-Чим Уксус рисовый 250мл. (12),"Рисовый уксус, 250 мл"
"Водоросли ""Чим-Чим"" морские сушеные Суши Нори 24г п/п (бл.х20)(1х12) (1х240) (#6) Корея (шк 9556) VV","Суши Нори 10 листов, 24 г"
"Уксус ""Чим-Чим"" рисовый 250мл с/б (1х12) (#21) Россия (шк 9136)","Рисовый уксус, 250 мл"
"Водоросли ""Чим-Чим"" морские сушеные Суши Нори 24г п/п (бл.х20)(1х12) (1х240) (#6) Корея (шк 9556) VV","Суши Нори 10 листов, 24 г"
"Рис ""Чим-Чим"" для Суши круглый шлифованный 500г д/п (1х12) (#8) Россия (шк 9945)","Рис для суши, 500 г"
