distr_name,original_name
"Набор ""Чим-Чим"" для салата из фунчозы 160г (1х12) (#9) Россия () (шк - 3776)","Набор Для салата из фунчозы ""ЧИМ-ЧИМ"""
"Приправа для маринов. шашлыка ""Костровок"" в луке и томатах 25г (1х20)(1х4) (#7) Россия () (шк 8887)","Приправа ЖМ для шашл\в луке и томатах, саше 25 гр."
"Приправа для маринов. шашлыка ""Костровок"" в майонезе 25г (1х20)(1х4) (#7) Россия () (шк 8825)","Приправа ЖМ для шашл\в майонезе, саше 25 гр."
"Приправа для маринов. шашлыка ""Костровок"" в минерал. воде 25г (1х20)(1х4) (#7) Россия () (шк 8856)","Приправа ЖМ для шашл\в мин-ой воде, саше 25 гр."
"Рассол  ""Идея на закуску"" для грудинки копченой 150г (блх8)(1х4) (#7) Россия () (шк - 3578)","Рассол ""Идея на закуску"" для грудинки копченой с чесноком"
"Рассол  ""Идея на закуску"" для крылышек копченых 150г (блх8)(1х4) (#7) Россия () (шк - 3547)","Рассол ""Идея на закуску"" для крылышек копченых острых"
"Рассол  ""Идея на закуску"" для окорочков копченых 150г (блх8)(1х4) (#7) Россия () (шк - 3554)","Рассол ""Идея на закуску"" для окорочков копченых"
"Рассол  ""Идея на закуску"" для рыбы горячего копчения 150г (блх8)(1х4) (#7) Россия () (шк- 3561)","Рассол ""Идея на закуску"" для рыбы горячего копчения"
"Соус  для мяса ""Костровок"" Аджичный на кизиле 300г с/б (1х12))(#24) Россия (шк 4902)",Соус для мяса Аджичный с ягодами кизила 300 гр (250 мл)
"Соус  для мяса ""Костровок"" Барбекю с черносливом 320г с/б (1х12))(#24) Россия (шк 4599)",Соус для мяса Барбекю с черносливом 320 гр (250мл)
"Соус  для мяса ""Костровок"" Брусничный с лесной брусникой 285г с/б (1х12))(#24) Россия (шк 4605)",Соус для мяса Брусничный 285 гр (250 мл)
"Соус  для мяса ""Костровок"" Перечный с черным перцем 300г с/б (1х12))(#24) Россия (шк 4612)",Соус для мяса Перечный с черным перцем 300 гр (250мл)
"Соус ""Идея на закуску"" для крылышек ТЕРИЯКИ 90гр (бл.х10)(1х4) (#13) Россия () (шк - 6494)","Соус Для крылышек терияки, 90 гр"
"Соус ""Костровок"" для ребрышек в соево-медовой глазури 90гр (бл.х10) (1х4) (#13) Россия (шк 8719)","Соус Ребрышки соево-медовые, 90 гр."
"Соус ""Чим-Чим"" для приготовления овощей по-тайски 150г дой-пак (1*20) (#12), Россия () (шк - 6982)","Соус для приготовления овощей по-тайски, 150 гр., 32 шт"
"Соус ""Чим-Чим"" для приготовления Пад Тай (рис.лапша) 90гр (бл.х10)(1х4) (#13) Россия () (шк 6876)","Соус для приготовления Пад Тай, 90 гр."
"Соус ""Чим-Чим"" для приготовления Яки Соба (греч.лапша) 90гр (бл.х10)(1х4) (#13) Россия () (шк 6906)","Соус для приготовления Яки Соба, 90 гр"
"Соус ""Чим-Чим"" для приготовления Яки Удон (пшенич.лапша) 90гр (бл.х10)(1х4) (#13) Россия ()(шк 6937)","Соус для приготовления Яки Удон, 90 гр"
"Соус ""Чим-Чим"" для фунчозы с говядиной в устричном соусе 90гр (бл.х10)(1х4)(#13) Россия () (шк 8764)","Соус Устричный для фунчозы ""Чим-Чим"", 90 гр"
"Соус ""Чим-Чим"" соевый ""Для СУШИ и РОЛЛОВ"" 250г ст/бут.(1*12) (#24), Корея () (шк 2192/9013)","Соевый соус ""Для СУШИ и РОЛЛОВ"", 250 мл"
"Соус ""Чим-Чим"" соевый ""Легкий"" 250г ст/бут.(1*12) (#24), Корея () (шк 2185/8993)","Соевый соус ""Легкий"", 250 мл"
"Соус ""Чим-Чим"" соевый ""Премиум"" 250г ст/бут.(1*12) (#24), Корея () (шк 2178/9037)","Соевый соус ""Премиум"", 250 мл"
"Соус WOK ""Чим-Чим"" Кисло-Сладкий 300г ст/бут.(1*12) (#24), Россия () (шк 4643)",Соус WOK Кисло-Сладкий 300 гр.
"Соус WOK ""Чим-Чим"" Соево-Чесночный 320г ст/бут.(1*12) (#24), Россия () (шк 4636)",Соус WOK Соево-Чесночный 320 гр.
"Фунчоза ""Чим-Чим"" стеклянная лапша из зеленых бобов 200г (1х18) (#9) Китай () (шк - 7309)","Вермишель ФУНЧОЗА бобовая, 200 гр."
Маринад  Чесночный 80гр (1х10)(1х4) (#13) Россия () (шк - 1703),"Маринад Чесночный, 80 гр"
"Маринад ""Идея на закуску"" для крылышек КОПЧЕНЫХ 80гр (1х10)(1х4) (#13) Россия () (шк - 6456)","Маринад для копчёных крылышек, 80 гр"
"Васаби паста ""Чим-Чим"" 43г пл/туба (1х40) (#10) Китай (шк 9525)","Васаби паста, 43 г"
Заправка корейская для моркови ОСТРАЯ 60гр (блх12)(1х4) (#13) Россия () (шк - 2953),"Корейская заправка для острой моркови, 60 гр"
"Имбирь ""Чим-Чим"" маринованный розовый 190г с/б (1х24) (#10) Китай (шк 9532)","Имбирь маринованный розовый, 190 г"
"Соус ""Чим-Чим"" ТЕРИЯКИ 250г ст/бут.(1*12) (#24), Россия () (шк 2274)","Соус Терияки Чим-Чим"" 250 мл."
"Соус ""Чим-Чим"" Чили с чесноком 300г ст/бут.(1*12) (#24), Россия () (шк 4629)",Соус Чили (с чесноком) 300 гр
"Соус WOK ""Чим-Чим"" Черный перец 320г ст/бут.(1*12) (#24), Россия () (шк 4650)",Соус WOK Черный Перец 320 гр.
"Заправка кор.""Чим-Чим"" для капусты 60г 4*12","Корейская заправка для капусты, 60 гр"
"Заправка кор.""Чим-Чим""для морковки 60г 4*12","Корейская заправка для моркови, 60 гр"
"Заправка кор.""Чим-Чим""  д/фунчезы  60г 4*12","Корейская заправка для фунчозы, 60 гр"
"Вермишель Фунчоза 100гр*24шт ""Чим-Чим""","Вермишель ФУНЧОЗА бобовая, 100 гр."
Кокосовое молоко ж/б 425мл*12,"Кокосовое молоко, 400 мл"
"Соус Устричный 250мл*12шт ст/б ""Чим-Чим""","Соус Устричный Чим-Чим"" 250 мл."
"Соус Терияки 250мл*12шт ст/б ""Чим-Чим""","Соус Терияки Чим-Чим"" 250 мл."
"Соус Брусничный 285мл*12шт ст/б ""Чим-Чим""",Соус для мяса Брусничный 285 гр (250 мл)
"Соус Черный перец 320мл*12шт ст/б ""Чим-Чим""",Соус WOK Черный Перец 320 гр.
"Соус соево-чесноч. 320мл*12шт ст/б ""Чим-Чим""",Соус WOK Соево-Чесночный 320 гр.
"Соус Барбекю 320мл*12шт ст/б ""Чим-Чим""",Соус для мяса Барбекю с черносливом 320 гр (250мл)
Маринад д/шашлыка по-кавказ.300гр*12 (Костровок),"Маринад для шашл\по-кавказски, 300 г"
Маринад универсальный 300гр*12 (Костровок),"Маринад Универсальный, 300 г"
Маринад для курицы 300гр*12 (Костровок),"Маринад для курицы, 300 г"
Маринад д/крылышек (терияки) 90гр*4бл*10шт.,"Соус Для крылышек терияки, 90 гр"
"Соевый соус 350гр (290мл)*6шт ст/б ""Чим-Чим""","Соевый соус ""Чим-Чим"", 350 гр (290 мл)"
"Заправка кор. ""Чим-Чим"" хе из курицы  60г 4*12","Корейская заправка для хе из курицы, 60 гр"
"Жидкий дым ""Костровок"" 0,33л *12","Жидкий дым Классический 0,33 л."
Маринад для рыбы 300гр*12 (Костровок),"Маринад для рыбы, 300 г"
Маринад для рыбы 300гр*12 (Костровок),"Маринад для рыбы, 300 г"
Маринад для барбекю 300гр*12 (Костровок),"Маринад для барбекю, 300 г"
Маринад д/шашлыка класс. 300гр*12 (Костровок),"Маринад для шашл\классический, 300 г"
Маринад для мяса 300гр*12 (Костровок),"Маринад для мяса (брусничный), 300 г"
Маринад Кавказский  в сашете  80гр*4бл * 10шт,"Маринад Кавказский, 80 гр"
Маринад Сырный   в  сашете  80гр*4бл*10шт,"Маринад Сырный, 80 гр"
Маринад С белым вином  в  сашете  80гр*4бл*10шт,"Маринад С Белым Вином, 80 гр"
Маринад   грибной в  сашете  80гр*4бл*10шт,"Маринад Грибной, 80 гр"
Маринад д/крылышек (чесноч.) 60гр*4бл*10шт.,"Маринад для чесночных крылышек, 60 гр."
"Маринад для шашлыка ""Классический"" 0,30л (12)","Маринад для шашл\классический, 300 г"
"Маринад для приготовления Крылышек Медово-горчичных, 80 гр.(40)","Маринад для крылышек медово-горчичных, 80 гр"
Соус для приготовления крылышек Терияки 90 гр. (40),"Соус Для крылышек терияки, 90 гр"
Маринад для приготовления крылышек Барбекю 80 гр. (40),"Маринад для крылышек барбекю, 80 гр"
Соус для приготовления Острых ребрышек с аджикой 90 гр. (40),"Соус Ребрышки острые в с-се с адж-ой, 90 гр."
"Маринад универсальный 0,30л (12)","Маринад Универсальный, 300 г"
"Вермишель Фунчоза бобовая Чим-Чим, 100 гр. (24)","Вермишель ФУНЧОЗА бобовая, 100 гр."
"Жидкий дым ""Классический"" 0,33л (12)","Жидкий дым Классический 0,33 л."
Маринад Чесночный 80гр. (40),"Маринад Чесночный, 80 гр"
Корейская заправка для капусты 60 гр.(4х12),"Корейская заправка для капусты, 60 гр"
Корейская заправка для моркови 60 гр.(4х12),"Корейская заправка для моркови, 60 гр"
"Соевый соус ""Чим-Чим"", 350 гр (290 мл) (6)","Соевый соус ""Чим-Чим"", 350 гр (290 мл)"
Корейская заправка для спаржи 60 гр.(4х12),"Корейская заправка для спаржи, 60 гр"
Соус для приготовления Острых ребрышек с аджикой 90 гр. (40),"Соус Ребрышки острые в с-се с адж-ой, 90 гр."
"Соус Устричный для фунчозы ""Чим-Чим"", 90 гр (40)","Соус Устричный для фунчозы ""Чим-Чим"", 90 гр"
Корейская заправка для фунчозы 60 гр.(4х12),"Корейская заправка для фунчозы, 60 гр"
"Соус Устричный ""Чим-Чим"", 320 гр (250 мл) (12)","Соус Устричный Чим-Чим"" 250 мл."
"Соус WOK Черный перец ""Чим-Чим"", 320 гр (250 мл) (12)",Соус WOK Черный Перец 320 гр.
"Соус WOK Соево-чесночный ""Чим-Чим"", 320 гр (250 мл) (12)",Соус WOK Соево-Чесночный 320 гр.
"Соус WOK Кисло-сладкий ""Чим-Чим"", 300 гр (250 мл) (12)",Соус WOK Кисло-Сладкий 300 гр.
"Соус для приготовления курицы терияки ""Чим-Чим"", 150 гр. (20)","Соус для приготовления курицы терияки, 150 гр., 32 шт"
"Соус для приготовления свинины в кисло-сладком соусе ""Чим-Чим"", 150 гр.(20)","Соус для приготовления свинины в кисло-сладком соусе, 150 гр., 32 шт"
"Соус для приготовления Яки Удон ""Чим-Чим"", 90 гр (40)","Соус для приготовления Яки Удон, 90 гр"
Маринад Кавказский 80гр. (40),"Маринад Кавказский, 80 гр"
"Рассол ""Идея на закуску"" для крылышек копченых 150 гр. (32)","Рассол ""Идея на закуску"" для крылышек копченых острых"
Набор Для салата из фунчозы Чим-Чим 160 гр. (12),"Набор Для салата из фунчозы ""ЧИМ-ЧИМ"""
Соус для мяса Брусничный 285 гр (250 мл) (12),Соус для мяса Брусничный 285 гр (250 мл)
"Маринад для курицы 0,30л (12)","Маринад для курицы, 300 г"
"Соус для приготовления Яки Соба ""Чим-Чим"", 90 гр (40)","Соус для приготовления Яки Соба, 90 гр"
Корейская заправка для хе из курицы 60 гр.(4х12),"Корейская заправка для хе из курицы, 60 гр"
"Рассол ""Идея на закуску"" для грудинки копченой 150 гр. (32)","Рассол ""Идея на закуску"" для грудинки копченой с чесноком"
Корейская заправка для хе из курицы 60 гр.(4х12),"Корейская заправка для хе из курицы, 60 гр"
"Соус для приготовления Яки Соба ""Чим-Чим"", 90 гр (40)","Соус для приготовления Яки Соба, 90 гр"
Корейская заправка для хе из рыбы 60 гр.(4х12),"Корейская заправка для хе из рыбы, 60 гр"
Соус для мяса Перечный 300 гр (250 мл) (12),Соус для мяса Перечный с черным перцем 300 гр (250мл)
Соус для приготовления ребрышек в Соево-медовой глазури 90 гр. (40),"Соус Ребрышки соево-медовые, 90 гр."
Соус для мяса Барбекю 320 гр (250 мл) (12),Соус для мяса Барбекю с черносливом 320 гр (250мл)
"Вермишель Фунчоза бобовая Чим-Чим, 200 гр (18)","Вермишель ФУНЧОЗА бобовая, 200 гр."
Маринад для приготовления копченых крылышек 80 гр. (40),"Маринад для копчёных крылышек, 80 гр"
"Жидкий дым ""Классический"" 0,5л (18)","Жидкий дым Классический 0,5 л."
"Маринад для шашлыка ""По-кавказски"" 0,30л (12)","Маринад для шашл\по-кавказски, 300 г"
"Лапша пшеничная Удон Чим-Чим, 250 гр (12)","Лапша пшеничная Удон Чим-Чим, 12 шт. 250 гр."
"Маринад для рыбы 0,30л (12)","Маринад для рыбы, 300 г"
"Соус для приготовления Пад Тай ""Чим-Чим"", 90 гр (40)","Соус для приготовления Пад Тай, 90 гр."
Маринад Сырный 80гр. (40),"Маринад Сырный, 80 гр"
"Маринад для барбекю 0,30л (12)","Маринад для барбекю, 300 г"
Маринад для приготовления чесночных крылышек 60 гр. (40),"Маринад для чесночных крылышек, 60 гр."
"Классический Жидкий дым, 0,5 л","Жидкий дым Классический 0,5 л."
"Классический Жидкий дым, 0,33 л","Жидкий дым Классический 0,33 л."
"Рассол для копчения КУРИЦЫ, 0,42 л","Рассол для копчения курицы, 0,42 л"
"Рассол для копчения САЛА, 0,42 л","Рассол для копчения сала, 0,42 л"
"Рассол для горячего копчения РЫБЫ, 0,42 л","Рассол для копчения рыбы, 0,42 л"
"Идея на закуску Крылышки копчёные острые, 150 г","Рассол ""Идея на закуску"" для крылышек копченых острых"
"Идея на закуску Рыба горячего копчения, 150 г","Рассол ""Идея на закуску"" для рыбы горячего копчения"
"Идея на закуску Копчёные Окорочка, 150 г","Рассол ""Идея на закуску"" для окорочков копченых"
"Идея на закуску Грудинка копчёная с чесноком, 150 г","Рассол ""Идея на закуску"" для грудинки копченой с чесноком"
"Маринад для Курицы, 300 г","Маринад для курицы, 300 г"
"Маринад для Рыбы, 300 г","Маринад для рыбы, 300 г"
